Distance;Class
693.187251989231;0
695.476117286209;1
808.722786688066;1
862.73752362307;1
894.07386897938;1
1074.15625394335;1
1099.33617393015;0
1158.81353959165;1
1169.91622301574;1
1273.2379413763;1
1317.72174291744;0
1321.33930751759;1
1360.97199499279;0
1377.6003324269;0
1417.24570133322;0
1423.58578637467;1
1428.13668124098;1
1442.0879623546;1
1468.86983056125;0
1566.45994798903;0
1592.47662928882;0
1593.28988587508;1
1723.64430252612;0
1742.99505840729;0
1760.69820110193;0
1801.17078170813;0
1835.96047328556;1
1843.5781263806;1
1849.21085390017;1
1926.93627942182;1
1945.45181857989;0
2007.19798114325;1
2009.36288924141;0
2016.86624568505;0
2043.02494290746;0
2051.91315302832;0
2071.41734733056;0
2088.35359699792;0
2095.22279615014;0
2097.61064336498;0
2117.83494613242;0
2119.53857328814;0
2133.0273226375;1
2134.12864210965;0
2164.51622201974;0
2169.0067505869;1
2177.82926551802;0
2182.80631392341;0
2190.75234187124;0
2234.68754805011;0
2257.69050117815;0
2267.74259116991;1
2272.81474858453;0
2285.48305999367;0
2372.28660678232;1
2382.3857531417;0
2455.87001921975;0
2509.55542903951;0
2513.2647775674;0
2514.83283512995;0
2519.12910542743;0
2548.98174078763;0
2568.64496751831;0
2578.2768007728;0
2580.14645701255;0
2608.6702275227;0
2616.54818419524;0
2619.91150515449;0
2639.16039030184;0
2642.13087593178;0
2666.90883885626;0
2676.77429367411;0
2721.05018302549;0
2731.71235722548;0
2748.0486011398;0
2792.31445368694;0
2826.46522465104;0
2833.04998828557;0
2839.54354275335;0
2844.11208491769;0
2844.31111657285;0
2849.65126165395;0
2859.92152059069;0
2860.46933156413;0
2862.75127494558;0
2864.16120682108;0
2884.73464850739;0
2895.52629942189;0
2935.47541984531;0
2945.85692991411;0
2947.94642951709;0
2953.44901750985;0
2965.28568840923;0
2970.69516033903;0
2976.55392015644;0
3020.20340846485;0
3027.33415494156;0
3033.93032706786;0
3047.22326763752;0
3070.38266574014;0
3071.16963988805;0
3071.4579393384;0
3078.1377119495;0
3093.58009142533;0
3101.8760362035;0
3117.68324460318;0
3120.67890295233;0
3122.63520430895;0
3127.55554053396;0
3132.78889272022;0
3149.49369159698;0
3153.24482319365;0
3158.16399889495;0
3169.779917019;0
3177.93890991168;0
3191.8143069294;1
3193.25547622829;0
3197.20642422936;0
3201.76607180627;0
3220.82518320918;0
3222.01136375121;0
3232.32516005485;0
3234.94272029891;0
3236.43772020361;0
3242.30678877928;0
3259.88296280479;0
3273.7714009641;0
3275.12074591574;0
3283.65771531278;0
3285.64244133159;0
3287.97210145068;0
3288.40344956169;0
3292.40895846674;0
3300.06387894511;1
3337.28171628394;0
3337.75502308159;0
3339.75039719782;0
3344.83519783665;0
3350.43594008003;0
3362.42750029551;0
3370.34405986172;0
3373.27364240774;0
3374.88709425741;0
3381.60288929524;0
3384.58690343241;0
3386.67730276808;0
3394.52517485148;0
3398.11308122702;0
3426.74531324789;0
3439.45011492189;0
3439.89015300129;0
3446.96676065642;0
3457.08867920301;0
3460.3138163291;0
3473.15329532587;0
3518.94621672595;0
3521.62649425986;1
3553.14136084824;1
3566.70611137187;0
3568.68996110123;0
3574.29925509276;0
3580.75322264399;0
3614.0422161765;0
3616.73926446676;0
3634.78591966738;0
3644.92334136491;0
3673.82161852428;0
3682.54653201341;0
3683.20093820999;0
3699.5770135958;0
3716.85598885571;0
3717.79849273683;0
3732.52065699698;0
3746.15250494098;0
3751.19673662366;0
3754.24812773197;0
3760.54238567156;0
3785.07630215068;0
3785.83129775717;0
3786.66421874558;0
3787.89296802918;0
3793.84404242595;0
3811.24230598366;0
3820.70217421374;0
3826.82599719807;0
3829.79522609554;0
3833.97582041151;0
3840.62075975771;0
3851.0482356744;0
3864.21637503285;0
3905.32482346;0
3909.87812787315;0
3917.86831495067;0
3930.61840475381;0
3940.15554285546;1
3945.07548026531;0
3955.42697875342;0
3958.13967293947;0
3974.75848237047;0
3981.55499390876;0
3995.68315359356;0
4006.5160127643;0
4011.57092353104;0
4060.08597620203;0
4060.98618596853;0
4078.40407804369;0
4080.37853756906;0
4083.58251183653;0
4085.79480363606;0
4091.10163400388;0
4106.49943444641;0
4119.45858282907;0
4127.10526341361;0
4137.12301914028;0
4138.71687569922;0
4141.91288024564;0
4147.0690243314;0
4157.35733068827;0
4160.61282613786;0
4162.96373744622;0
4164.0019861468;0
4178.01638866442;0
4198.49417225143;0
4202.49629065109;0
4203.37758811011;0
4256.18485437294;0
4267.45924073103;0
4275.0549376021;0
4276.59436633612;0
4282.8903341594;0
4286.57525473893;0
4301.79571656448;0
4309.3747606673;0
4326.83044835433;0
4340.66285258739;0
4347.71022316258;0
4354.68566677138;0
4356.15131521541;0
4369.09076677697;0
4376.03315781989;0
4391.53052388029;0
4414.54137192364;0
4415.1666267237;0
4417.85503564545;0
4449.56271024746;0
4452.88308008978;0
4454.95822941345;0
4463.69318241686;0
4491.34474392396;0
4505.54417831853;0
4518.5853727742;0
4526.52395857663;0
4530.60216222902;0
4534.12603999124;0
4543.54019280408;0
4571.58032518892;0
4594.07177132199;0
4611.93872360363;0
4614.59950072823;0
4620.56527532545;0
4621.54027511516;0
4629.99706874887;0
4634.29768590531;0
4636.7834551631;0
4653.55843644954;0
4655.14632142398;0
4655.45508092909;0
4670.68702221476;0
4674.48517835133;0
4675.15063619383;0
4679.81128611024;0
4681.00288076142;0
4687.93328316503;0
4688.67536971499;0
4694.95498144402;0
4710.14987669906;0
4711.75148015081;0
4714.60495708786;0
4716.79832270957;0
4729.40251455938;0
4741.02151337653;0
4756.3297345296;0
4770.23191947781;0
4775.81751878452;0
4787.09579695532;0
4790.48932223333;0
4803.92554831154;0
4822.13523940792;0
4825.17942241965;0
4827.21717174733;0
4835.26888029288;0
4851.33204224242;0
4852.09084202467;0
4856.43425048193;0
4876.57798631603;0
4880.09906259001;0
4880.44221937887;0
4891.09675676426;0
4937.71555015009;0
4951.70311766018;0
4960.2573369183;0
4973.83777731998;0
4982.30523867921;0
4982.76365094875;0
4985.49792888926;0
4991.57065529299;0
4992.04478461462;0
4996.75141225909;0
5000.84878941105;0
5014.40124154828;0
5031.66144125018;0
5041.40325971123;0
5042.06452944074;0
5048.62033742886;0
5048.68555764297;0
5061.59923530699;0
5093.46461843706;0
5120.56792724669;0
5135.23376015304;0
5138.07621646429;0
5138.3493854651;0
5165.5193340037;0
5172.52664010694;0
5187.65063968658;0
5188.29774469707;0
5188.78484590152;0
5207.69079497551;0
5212.36629953821;0
5212.84295086262;0
5219.97050282507;0
5237.94508023212;0
5247.12525281852;0
5259.77057616574;0
5280.76381089816;0
5290.22562595318;0
5321.70411783834;0
5322.88018558235;0
5324.814375832;0
5333.79739848728;0
5338.13622055511;0
5375.74458371354;0
5390.12614118151;0
5395.06287450352;0
5412.26543361965;0
5421.23736564778;0
5427.04449678978;0
5433.75686331281;0
5444.89537828265;0
5448.53506252964;0
5450.2308258411;0
5456.32746197114;0
5464.57795066844;0
5471.57159576026;0
5477.52418765989;0
5477.7993589865;0
5492.5822682683;0
5498.65642646777;0
5500.55169693867;0
5527.53061974276;0
5527.99104425537;0
5537.38437771526;0
5548.71986931477;0
5549.69162786656;0
5558.48766413689;0
